TICKER,CNAME,PERMNO,IssuerNm,SCORE
CPGC,CRESCENT POINT,14379,CRESCENT POINT ENERGY CORP,0
CPGI,CN PACK GRP,12484,CHINA SHENGDA PACKAGING GRP INC,1
CPGN,COMPUGEN,88507,COMPUGEN LTD,0
CPGX,COLUMBIA US,15404,COLUMBIA PIPELINE GROUP INC,0
CPH,PROVIDIAN CP,53081,PROVIDIAN CORP,0
CPH,PROVIDIAN FINL,85073,PROVIDIAN FINANCIAL CORP,0
CPHD,CEPHEI,88331,CEPHEID,0
CPHI,CHINA PHARMA,93016,CHINA PHARMA HOLDINGS INC,0
CPHL,CASTLEPOINT HLDG,91894,CASTLEPOINT HOLDINGS LTD,0
CPHR,CIPHER PHARMS,15061,CIPHER PHARMACEUTICALS INC,0
CPIA,CPI US,77900,C P I AEROSTRUCTURES INC,1
CPIC,CPI CP,20248,C P I CORP,1
CPII,CPI INTERNATIONA,91172,C P I INTERNATIONAL INC,0
CPIN,CAMERA PLATFORMS,10316,CAMERA PLATFORMS INTL INC,2
CPIX,CUMBERLAND,93004,CUMBERLAND PHARMACEUTICALS INC,0
CPJ,CHATEAU CMMUNITY,79897,CHATEAU COMMUNITIES INC,0
CPKI,CALIFORNIA PIZZA,88510,CALIFORNIA PIZZA KITCHEN INC,0
CPL,PROGRESS ENERGY,23114,PROGRESS ENERGY INC,0
CPLA,CAPELLA EDU,91605,CAPELLA EDUCATION CO,0
CPLG,COREPOINT,17789,COREPOINT LODGING INC,0
CPLN,CONCORDIA PAPER,81150,CONCORDIA PAPER HOLDINGS LTD,0
CPLS,CARE PLUS INC,21486,CARE PLUS INC,0
CPLT,COMPELLENT TECHN,92330,COMPELLENT TECHNOLOGIES INC,0
CPLX,CERPLEX GROUP,80440,CERPLEX GROUP INC,0
CPLY,COPLEY PHARMACEU,77985,COPLEY PHARMACEUTICAL INC,0
CPLZ,CAPITAL CLEAN,91895,CAPITAL CLEAN ENERGY CARRIERS CO,0
CPMT,COPPER MT NETWK,86885,COPPER MOUNTAIN NETWORKS INC,1
CPN,CP NATL CORP,57269,C P NATIONAL CORP,0
CPNG,COUPANG,20682,COUPANG INC,0
CPNO,COPANO ENERGY,90451,COPANO ENERGY L L C,0
CPO,CALIF PORT CEM,51414,CALIFORNIA PORTLAND CEM CO,1
